words,count
to,88
the,76
a,76
was,44
is,40
he,40
it,36
The,32
He,28
and,28
that,28
you,24
in,24
be,24
of,24
I,24
so,24
her,24
if,20
more,16
with,16
when,16
on,16
but,16
from,16
are,16
his,16
not,12
will,12
for,12
She,12
had,12
your,12
have,12
look,12
no,12
were,12
or,12
If,8
even,8
could,8
him,8
by,8
new,8
don't,8
doesn't,8
their,8
they,8
tell,8
than,8
hair,8
should,8
decide,8
water,8
old,8
go,8
life,8
enough,8
history,8
His,8
thought,8
A,8
my,8
she,8
never,8
up,8
like,8
need,8
made,8
at,8
time,8
way,8
butter,8
This,8
would,8
bars,8
all,8
went,8
as,8
why,8
right,8
we,8
eating,8
stop,8
We,8
Tomorrow,4
leave,4
corny,4
day,4
preoccupied,4
crazy,4
bananas,4
priest,4
did,4
whether,4
Having,4
I'm,4
crime,4
surprised,4
James,4
buy,4
Poison,4
name,4
sea,4
Doug,4
feeding,4
eagerly,4
process,4
Peanut,4
owners,4
grew,4
phone,4
power,4
hummingbird's,4
Roger,4
aroma,4
own,4
crackers,4
universe,4
marriage,4
disappointed,4
Separation,4
hot,4
encountered,4
lost,4
visited,4
stay,4
park,4
auto,4
apart,4
Toddlers,4
Africa,4
bring,4
it's,4
table,4
juice,4
falling,4
learned,4
failed,4
dog,4
difficult,4
groundhog,4
one,4
hopes,4
browser,4
nor,4
morgue,4
whiskey,4
standing,4
appropriate,4
raccoons,4
sipped,4
trivial,4
can't,4
Baby,4
outside,4
blurred,4
beach,4
18,4
angry,4
cow,4
maize,4
elderly,4
himself,4
As,4
candy,4
phobia,4
dreams,4
days,4
shouldn't,4
sugar,4
Erin,4
kitchen,4
today,4
created,4
years,4
delicious,4
brush,4
team,4
longer,4
Even,4
Gary,4
immediately,4
me,4
Japanese,4
dollar,4
felt,4
past,4
seasoned,4
loved,4
hairier,4
ingredient,4
ranger,4
bills,4
Situps,4
wipes,4
lake,4
owning,4
duck,4
sandy,4
end,4
nothing,4
doll,4
animal,4
float,4
goal,4
adult,4
shrink,4
into,4
sentence,4
party,4
wings,4
going,4
tipping,4
front,4
tribe,4
accidentally,4
room,4
Her,4
fly,4
self,4
probably,4
status,4
full,4
wondered,4
-,4
truth,4
liquid,4
You,4
quipped,4
paint,4
cigarettes,4
mid-sent,4
long,4
our,4
played,4
while,4
just,4
mean,4
jelly,4
really,4
find,4
want,4
consider,4
backward,4
feet,4
chocolate,4
Edith,4
writing,4
waffles,4
sunny,4
Bond,4
turtle,4
nails,4
levels,4
said,4
couldn't,4
cucumber,4
improve,4
dogs,4
heights,4
impenetrable,4
hard,4
Please,4
what,4
work,4
giraffe,4
ruined,4
depended,4
ordered,4
terrible,4
you're,4
mechanic,4
embarrassing,4
invited,4
months,4
bird,4
been,4
here,4
happens,4
three,4
every,4
wore,4
important,4
random,4
upstairs,4
calculator,4
part,4
peanut,4
yesterday,4
members,4
bottles,4
through,4
teeth,4
until,4
didn't,4
sun,4
head-hunters,4
lady,4
an,4
something,4
Moore,4
diet,4
house,4
bikini,4
found,4
they're,4
incredibly,4
get,4
ivy,4
Weather,4
buns,4
war,4
best,4
come,4
understand,4
think,4
let,4
delighted,4
Asia,4
nice,4
ponytail,4
daily,4
especially,4
am,4
cigarette,4
balloon,4
game,4
stardust,4
about,4
snow,4
son,4
know,4
symbols,4
wear,4
first,4
give,4
rent,4
since,4
toenails,4
wonderful,4
belief,4
When,4
caused,4
fence,4
feeder,4
memory,4
many,4
last,4
quiet,4
hold,4
pass,4
also,4
book,4
Henry,4
air,4
dead,4
secret,4
anxiety,4
smoke,4
gave,4
,1
